B,B_exp,M,R,nRun,udl,cap_r,nam,nam_set,hog,sag
15682706912841.945,15661448253552.28,22332630.66213131,0.001355547827796115,1,3000,0.06169234989539036,C1_2_3000,C1_2,s2,s12
15684360611100.164,15663928918913.6,21223773.245620728,0.0013026793181549587,1,3000,0.058629207860830736,C1_2_3000,C1_2,s2,s12
15685992924403.398,15666377213545.986,20129385.54494381,0.001250524015403263,1,3000,0.05560603741697185,C1_2_3000,C1_2,s2,s12
15687603592739.916,15668793264114.244,19049410.940933228,0.0011990568549537502,1,3000,0.05262268215727411,C1_2_3000,C1_2,s2,s12
15689192795295.416,15671177158066.518,17983810.344266884,0.0011482832459233105,1,3000,0.04967903410018476,C1_2_3000,C1_2,s2,s12
15690760605201.465,15673528862548.248,16932598.440933228,0.0010982095187600082,1,3000,0.046775133814732674,C1_2_3000,C1_2,s2,s12
15692306911086.184,15675848302259.168,15895808.890151978,0.0010488329676618846,1,3000,0.04391107428218778,C1_2_3000,C1_2,s2,s12
15693831803614.768,15678135653067.916,14873363.078641884,0.0010001477486993495,1,3000,0.041086638338789734,C1_2_3000,C1_2,s2,s12
15695335123802.031,15680390586104.596,13865408.011245728,0.000952164294649058,1,3000,0.03830223207526444,C1_2_3000,C1_2,s2,s12
15696817031179.338,15682613590814.816,12871724.905776978,0.0009048611789452927,1,3000,0.035557251120930874,C1_2_3000,C1_2,s2,s12
15698277407772.695,15684804022711.021,11892601.848173134,0.0008582715613754376,1,3000,0.03285249129329595,C1_2_3000,C1_2,s2,s12
15699716342560.77,15686962426804.75,10927795.218276978,0.0008123659993425874,1,3000,0.03018727960849994,C1_2_3000,C1_2,s2,s12
15700000000000,15689088604359.979,9977393.851089478,0.0006949933528676104,1,3000,0.027561861467098003,C1_2_3000,C1_2,s2,s12
15700000000000,15691182571761.986,9041390.422391884,0.0005616196329945014,1,3000,0.02497621663644167,C1_2_3000,C1_2,s2,s12
15700000000000,15693244321838.48,8119788.138198851,0.00043029797207130773,1,3000,0.022430353972925,C1_2_3000,C1_2,s2,s12
15700000000000,15695273829537.377,7212598.196792601,0.0003010299657721686,1,3000,0.019924304411029284,C1_2_3000,C1_2,s2,s12
15700000000000,15697271035847.674,6319846.976089476,0.00017381937275962877,1,3000,0.017458140817926727,C1_2_3000,C1_2,s2,s12
15700000000000,15699236384834.379,5441335.979032509,4.8637908638286223E-05,1,3000,0.015031314859205827,C1_2_3000,C1_2,s2,s12
15700000000000,15700000000000,4577387.991714476,0,1,3000,0.01264471820915601,C1_2_3000,C1_2,s2,s12
15700000000000,15700000000000,3727771.170425413,0,1,3000,0.010297710415539816,C1_2_3000,C1_2,s2,s12
11100000000000.002,15700000000000,2892588.2983684465,0.4144144144144142,1,3000,0.007990575409857587,C1_2_3000,C1_2,s2,s12
11100000000000.002,15700000000000,2071848.7461090072,0.4144144144144142,1,3000,0.005723339077649191,C1_2_3000,C1_2,s2,s12
11100000000000.002,15700000000000,1265379.6298980697,0.4144144144144142,1,3000,0.00349552383949743,C1_2_3000,C1_2,s2,s12
